Autor;anyo;Titulo;Pais/Estudios;Efectividad(transmision);Efectividad(Infeccion);Efectividad(Hospitalizacion);Efectividad(Uci);Efectividad(Muerte);Pfizer;Moderna;J&J;Astrazeneca;Sinopharm;Reduccion;Link
Cabezas;2021;Associations of BNT162b2 vaccination with SARS-CoV-2 infection and hospital admission and death with covid-19 in nursing homes and healthcare workers in Catalonia: prospective cohort study;Espanya;;85;95;;95;1;0;0;0;0;1;https://www.bmj.com/content/bmj/374/bmj.n1868.full.pdf
Nanduri;2021;Effectiveness of Pfizer-BioNTech and Moderna Vaccines in Preventing SARS-CoV-2 Infection Among Nursing Home Residents Before and During Widespread Circulation of the SARS-CoV-2 B.1.617.2 (Delta) Variant — National Healthcare Safety Network, March 1–August 1, 2021;Estados Unidos;;63;;;;1;1;0;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7034e3.htm?s_cid=mm7034e3_w
Tenforde;2021;Sustained Effectiveness of Pfizer-BioNTech and Moderna Vaccines Against COVID 19 Associated Hospitalizations Among Adults  United States;Estados Unidos;85;;;;;1;1;0;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7034e2.htm?s_cid=mm7034e2_w
Rosenberg;2021;New COVID-19 Cases and Hospitalizations Among Adults, by Vaccination Status   New York;Estados Unidos;85;;93;;;1;1;1;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7034e1.htm?s_cid=mm7034e1_w
SSI;2021;vaccineeffektivitet for covid-19 vaccinerne Comirnaty, Spikevax og Vaxzevria* i perioden, hvor alfa og delta varianterne har cirkuleret i Danmark;Dinamarca;;80;90;;;1;1;0;0;0;0;https://www.ssi.dk/-/media/arkiv/dk/aktuelt/nyheder/2021/notat---vaccineeffektivitet-for-covid-19-vaccinerne.pdf?la=da
Moline;2021;Effectiveness of COVID-19 Vaccines in Preventing Hospitalization Among Adults Aged ≥65 Years — COVID-NET, 13 States, February–April 2021;Estados Unidos;;;90;;;1;1;1;0;0;0;https://www.cdc.gov/mmwr/volumes/70/wr/mm7032e3.htm?s_cid=mm7032e3_w
Gier;2021;Vaccine effectiveness against SARS-CoV-2 transmission and infections among household and other close contacts of confirmed cases, the Netherlands, February to May 2021;Paises Bajos;71;;;;;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.31.2100640
Angel;2021; Association Between Vaccination With BNT162b2 and Incidence of Symptomatic and Asymptomatic SARS-CoV-2 Infections Among Health Care Workers ;Israel;;86;;;;1;0;0;0;0;0;https://jamanetwork.com/journals/jama/fullarticle/2779853
Pawloski;2021;FDA-authorized mRNA COVID-19 vaccines are effective per real-world evidence synthesized across a multi-state health system;Estados Unidos;;86;87;100;;1;1;0;0;0;0;https://www.cell.com/med/fulltext/S2666-6340(21)00238-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2666634021002385%3Fshowall%3Dtrue
Tande;2021;Impact of the Coronavirus Disease 2019 (COVID-19) Vaccine on Asymptomatic Infection Among Patients Undergoing Preprocedural COVID-19 Molecular Screening ;Estados Unidos;;73;;;;1;1;0;0;0;0;https://academic.oup.com/cid/article/74/1/59/6167855?login=false
Teran;2021;Postvaccination SARS-CoV-2 Infections Among Skilled Nursing Facility Residents and Staff Member;Estados Unidos;;83;;;;1;0;0;1;0;1;https://www.cdc.gov/mmwr/volumes/70/wr/mm7017e1.htm#T1_down
Lopez;2021;Effectiveness of the BNT162b2 mRNA Covid-19 vaccine in Spanish healthcare workers;Espanya;;90;;;;1;0;0;0;0;1;https://www.sciencedirect.com/science/article/pii/S0213005X21002238
Monge;2021; Direct and Indirect Effectiveness of mRNA Vaccination against Severe Acute Respiratory Syndrome Coronavirus 2 in Long-Term Care Facilities, Spain ;Espanya;;82;;;;1;0;0;0;0;0;https://pubmed.ncbi.nlm.nih.gov/34314670/
Kissling;2021;Vaccine effectiveness against symptomatic SARS-CoV-2 infection in adults aged 65 years and older in primary care: I-MOVE-COVID-19 project, Europe, December 2020 to May 2021;Europa;;89;;;;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.29.2100670
Liang;2021;COVID-19 vaccinations are associated with reduced fatality rates: Evidence from cross-county quasi-experiments;No aplicable;;;;;31;1;1;1;1;0;1;https://www.jogh.org/documents/2021/jogh-11-05019.pdf
Bernal;2021;Effectiveness of Covid-19 Vaccines against the B.1.617.2 (Delta) Variant;Inglaterra;;90;;;;1;0;0;1;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2108891?query=featured_home
Butt;2021;SARS-CoV-2 Vaccine Effectiveness in a High-Risk National Population in a Real-World Setting;Estados Unidos;;97;;;;1;1;0;0;0;0;https://www.acpjournals.org/doi/full/10.7326/M21-1577
Harder;2021;Efficacy and effectiveness of COVID-19 vaccines against SARS-CoV-2 infection: interim results of a living systematic review , 1 January to 14 May 2021;30 estudios;;85;;;;1;1;1;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.28.2100563?crawler=true
Toniasso;2021;Reduction in COVID-19 prevalence in healthcare workers in a university hospital in southern Brazil after the start of vaccination;Brasil;;62;;;;0;0;0;1;0;1;https://www.sciencedirect.com/science/article/pii/S1201971221005828
Alencar;2021;High Effectiveness of SARS-CoV-2 Vaccines in Reducing COVID-19-Related Deaths in over 75-Year-Olds, Ceara State, Brazil;Brasil;;;;;99;0;1;0;1;0;0;https://mdpi-res.com/d_attachment/tropicalmed/tropicalmed-06-00129/article_deploy/tropicalmed-06-00129-v2.pdf
Charmet;2021;Impact of original, B.1.1.7, and B.1.351/P.1 SARS-CoV-2 lineages on vaccine effectiveness of two doses of COVID-19 mRNA vaccines: Results from a nationwide case-control study in France;Francia;;84;;;;0;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S2666776221001484
Paris;2021;Effectiveness of mRNA-BNT162b2, mRNA-1273, and ChAdOx1 nCoV-19 vaccines against COVID-19 in healthcare workers: an observational study using surveillance data;Francia;;96;;;;1;1;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S1198743X21003797
Skowronski;2021;Single-dose mRNA Vaccine Effectiveness Against Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), Including Alpha and Gamma Variants: A Test-negative Design in Adults 70 Years and Older in British Columbia, Canada;Canada;;65;;;;1;1;0;0;0;0;https://academic.oup.com/cid/article/74/7/1158/6318435?login=false
Urdiales;2021;Initial impact of SARS-Cov-2 vaccination on healthcare workers in Italy– Update on the 28th of March 2021;Italia;;74;;;;1;1;0;1;0;1;https://www.sciencedirect.com/science/article/pii/S0264410X21008628#f0005
Kow;2021;Real-world effectiveness of BNT162b2 mRNA vaccine: a meta-analysis of large observational studies;19 estudios;;95;;;;1;0;0;0;0;0;https://link.springer.com/article/10.1007/s10787-021-00839-2
Chemaitelly;2021;mRNA-1273 COVID-19 vaccine effectiveness against the B.1.1.7 and B.1.351 variants and severe COVID-19 disease in Qatar;Qatar;;98;;81;95;0;1;0;0;0;0;https://www.nature.com/articles/s41591-021-01446-y
Yochay;2021;Decreased infectivity following BNT162b2 vaccination: A prospective cohort study in Israel;Israel;;65;;;;1;0;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S2666776221001277
Xing;2021;Efficacy and safety of COVID-19 vaccines: a systematic review;25 estudios;;90;;;;1;0;0;1;0;0;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7969187/
McDonald;2021;Comparative systematic review and meta-analysis of reactogenicity, immunogenicity and efficacy of vaccines against SARS-CoV-2;55 estudios;;93;;;;1;1;1;1;0;0;https://www.nature.com/articles/s41541-021-00336-1
Jara;2021;Effectiveness of an Inactivated SARS-CoV-2 Vaccine in Chile;Chile;;69;87;90;86;1;1;0;1;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2107715?query=featured_home
Frenck;2021;Safety, Immunogenicity, and Efficacy of the BNT162b2 Covid-19 Vaccine in Adolescents;Estados Unidos;;100;;;;1;0;0;0;0;0;https://www.nejm.org/doi/full/10.1056/NEJMoa2107456
Urdiales;2021;Risk of SARS-CoV-2 infection and subsequent hospital admission and death at different time intervals since first dose of COVID-19 vaccine administration, Italy, 27 December 2020 to mid-April 2021;Italia;;78;89;;93;1;0;0;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.25.2100507
Sansone;2021;Effectiveness of BNT162b2 vaccine against the B.1.1.7 variant of SARS-CoV-2 among healthcare workers in Brescia, Italy.;Italia;;61;;;;1;0;0;0;0;1;https://www.journalofinfection.com/article/S0163-4453(21)00225-5/fulltext#relatedArticles
Amit;2021;Early rate reductions of SARS-CoV-2 infection and COVID-19 in BNT162b2 vaccine recipients;Israel;;75;;;;1;0;0;0;0;1;https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00448-7/fulltext?dgcid=hubspot_email_newsletter_lancetcovid21&utm_campaign=lancetcovid21&utm_medium=email&_hsmi=111927910&_hsenc=p2ANqtz-9x1S2bCxDgxW8mu7Tx2yxEQYK8K7d35OZF-UsbVIlyuEKbHuP3LiNmABNNw049yOVY1GewJnbsysjnfWJHtZtaIzGZiA&utm_content=111925467&utm_source=hs_email
Anthony;2021;Decline in SARS-CoV-2 Infections Among Health Care Workers at 2 Hospitals Following Rollout and Administration of mRNA Vaccines Infections Among Health Care Workers at 2 Hospitals;Estados Unidos;;33;;;;1;1;0;0;0;1;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8083205/pdf/ofab204.pdf
Zacay;2021; BNT162b2 Vaccine Effectiveness in Preventing Asymptomatic Infection With SARS-CoV-2 Virus: A Nationwide Historical Cohort Study ;Israel;;89;;;;1;0;0;0;0;0;https://academic.oup.com/ofid/article/8/6/ofab262/6295308?login=false
Paolo;2021;BNT162b2 mRNA COVID-19 Vaccine Effectiveness in the Prevention of SARS-CoV-2 Infection: A Preliminary Report;Italia;;96;;;;1;0;0;0;0;0;https://academic.oup.com/jid/article/224/3/431/6278131?login=false
Bernal;2021;Effectiveness of the Pfizer-BioNTech and Oxford-AstraZeneca vaccines on covid-19 related symptoms, hospital admissions, and mortality in older adults in England: test negative case-control study;Inglaterra;;65;70;;85;1;0;0;1;0;0;https://www.bmj.com/content/373/bmj.n1088.full
Chodick;2021;Assessment of Effectiveness of 1 Dose of BNT162b2 Vaccine for SARS-CoV-2 Infection 13 to 24 Days After Immunization Assessment of Effectiveness of 1 Dose of BNT162b2 Vaccine for SARS-CoV-2 Infection 13 to 24 Days After Immunization;Israel;;54;;;;1;0;0;0;0;0;https://jamanetwork.com/journals/jamanetworkopen/article-abstract/2780700
Benenson;2021;BNT162b2 mRNA Covid-19 Vaccine Effectiveness among Health Care Workers;Israel;;80;;;;1;0;0;1;0;0;https://www.nejm.org/doi/full/10.1056/NEJMc2101951
Domi;2021;The BNT162b2 vaccine is associated with lower new COVID-19 cases in nursing home residents and staff;Estados Unidos;;32;;;42;1;0;0;0;0;1;https://agsjournals.onlinelibrary.wiley.com/doi/full/10.1111/jgs.17224
Chodick;2021; The Effectiveness of the Two-Dose BNT162b2 Vaccine: Analysis of Real-World Data;Israel;;92;;;;1;0;0;0;0;0;https://academic.oup.com/cid/article-abstract/74/3/472/6276888?redirectedFrom=fulltext&login=false
Pormohammad;2021;Efficacy and Safety of COVID-19 Vaccines: A Systematic Review and Meta-Analysis of Randomized Clinical Trials ;25 estudios;;90;;;;1;1;1;1;1;0;https://www.mdpi.com/2076-393X/9/5/467/htm
PHO;2021;COVID-19 Real-World Vaccine Effectiveness what we know What We Know So Far: review;30 estudios;;70;91;;98;1;1;1;1;0;0;https://www.publichealthontario.ca/-/media/documents/ncov/covid-wwksf/2021/04/wwksf-vaccine-effectiveness.pdf
Vasileiou;2021;Interim findings from first-dose mass COVID-19 vaccination roll-out and COVID-19 hospital admissions in Scotland: a national prospective cohort study;Escocia;;;90;;;1;0;0;1;0;0;https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00677-2/fulltext
Rossman;2021;COVID-19 dynamics after a national immunization program in Israel;Israel;;77;68;67;;1;0;0;1;0;1;https://www.nature.com/articles/s41591-021-01337-2
Martinez-Baz;2021;Effectiveness of COVID-19 vaccines in preventing SARS-CoV-2 infection and hospitalisation, Navarre, Spain, January to April 2021;Espanya;;66;95;;;1;0;0;1;0;0;https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2021.26.21.2100438?TRACK=RSS
Pritchard;2021;Impact of vaccination on new SARS-CoV-2 infections in the United Kingdom;Reino Unido;;80;;;;1;0;0;1;0;0;https://www.nature.com/articles/s41591-021-01410-w
Alharbi;2022;Outcomes of Single Dose COVID-19 Vaccines: Eight Month Follow-up of a Large Cohort in Saudi Arabia;Arabia Saudi;;92;;;;1;0;0;1;0;0;https://www.sciencedirect.com/science/article/pii/S1876034122000843
Noor;2022;COVID-19 vaccines: their effectiveness against the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) and its emerging variants: review;30 estudios;;80;;;;1;1;1;1;1;0;https://link.springer.com/article/10.1186/s42269-022-00787-z
Bruxvoort;2022;Real-world effectiveness of the mRNA-1273 vaccine against COVID-19: Interim results from a prospective observational cohort study;Estados Unidos;;87;95;;98;0;1;0;0;0;0;https://www.sciencedirect.com/science/article/pii/S2667193X21001307
Fabiani;2022;Effectiveness of an mRNA vaccine booster dose against SARS-CoV-2 infection and severe COVID-19 in persons aged 60 years and other high-risk groups during predominant circulation of the Delta variant in Italy;Italia;;67;89;89;89;0;1;0;0;0;0;https://www.tandfonline.com/doi/abs/10.1080/14760584.2022.2064280?journalCode=ierv20
Tenforde;2022;Effectiveness of mRNA Vaccination in Preventing COVID-19 Associated Invasive Mechanical Ventilation and Death;Estados Unidos;;;;90;90;1;1;0;0;0;0;https://www.cdc.gov/mmwr/volumes/71/wr/mm7112e1.htm
Braeye;2022;Vaccine effectiveness against onward transmission of sars-cov2-infection by variant of concern and time since vaccination, belgian contact tracing;Belgica;60;;;;;1;1;1;1;0;0;https://www.sciencedirect.com/science/article/pii/S0264410X22004418
Rinnot;2021;Reduction in COVID-19 Patients Requiring Mechanical Ventilation Following Implementation of a National COVID-19 Vaccination Program;Israel;;;;67;;1;0;0;0;0;1;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7948930/
Athalia;2021;Decreases in COVID-19 cases, emergency department visits, hospital admissions, and deaths among older adults following the introduction of COVID-19 vaccine;Estados Unidos;;69;59;63;66;1;1;0;0;0;1;https://www.cdc.gov/mmwr/volumes/70/wr/mm7023e2.htm
Flacco;2021;Interim Estimates of COVID-19 Vaccine Effectiveness in a Mass Vaccination Setting: Data from an Italian Province;Italia;;95;;;99;1;1;0;1;0;0;https://www.mdpi.com/2076-393X/9/6/628
Haas;2021;Impact and effectiveness of  mRNA BNT162b2 vaccine against SARS-CoV-2 infections and COVID-19 cases,hospitalisations, and deaths following a nationwide vaccination campaign in Israel: an observational study;Israel;;95;97;97;96;1;0;0;0;0;0;https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(21)00947-8/fulltext
Nyberg;2022;Comparative analysis of the risks of hospitalisation and death associated with SARS-CoV-2 omicron (B.1.1.529) and delta (B.1.617.2) variants in England: a cohort study;Inglaterra;;;70;;70;1;1;0;1;0;0;https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(22)00462-7/fulltext
Mmed;2022;Effectiveness of Inactivated COVID-19 Vaccines Against Illness Caused by the B.1.617.2 (Delta) Variant During an Outbreak in Guangdong, China;China;;51;100;100;100;0;0;0;1;0;;https://www.acpjournals.org/doi/10.7326/M21-3509
